conservation_mdot [kg/s],conservation_tank.mass [kg],conservation_tank.volume [m^3],conservation_tank.inenergy [J],conservation_tank.pressure [Pa],conservation_tank.temperature [degK],conservation_tank.density [kg/m^3],conservation_tank.sp_inenergy [J/kg],conservation_tank.sp_enthalpy [J/kg],time [s]
-1.5871493244475856,1.0804750995372943,0.0037854117839999993,174073.69717873316,26676864.82019936,285.48611951673405,285.43132456664176,161108.47649638477,254570.0643606521,0.0
-1.545811660036928,1.065016982936925,0.0037854117839999993,170138.52344088268,25821365.32355486,282.89558851657756,281.34772217873063,159751.93463272598,251529.34489073913,0.01
-1.5062411337958614,1.0499545715989662,0.0037854117839999993,166349.8849845711,25009225.0673028,280.37482950770993,277.36865406211945,158435.31661683077,248601.3274512841,0.02
-1.4683310065561528,1.0352712615334048,0.0037854117839999993,162699.59461089372,24237431.136071824,277.92050531252175,273.489733906689,157156.48705432934,245779.30587041445,0.03
-1.4319827848553792,1.0209514336848509,0.0037854117839999993,159180.07726209235,23503232.583519824,275.52949910449496,269.7068355945212,155913.46660592314,243057.096212904,0.04
-1.3971054519321837,1.006980379165529,0.0037854117839999993,155784.3133195938,22804113.377793185,273.19889619460804,266.0160734485443,154704.41782459573,240428.98732961935,0.05
-1.3636147821185183,0.9933442313443438,0.0037854117839999993,152505.78810786927,22137768.558990255,270.9259676069543,262.4137842923627,153527.63251212056,237889.69687046975,0.06
-1.3314327283929959,0.9800299040604138,0.0037854117839999993,149338.44682626094,21502083.180113208,268.70815524158826,258.89651112799885,152381.52040823337,235434.33207583657,0.07
-1.300486874253013,0.9670250353178836,0.0037854117839999993,146276.65424012943,20895113.666145198,266.54305844821334,255.46098826163632,151264.59905150736,233058.35475695768,0.08
-1.270709942249422,0.9543179358953894,0.0037854117839999993,143315.15855498984,20315071.27889625,264.4284218563398,252.10412772767697,150175.48467275145,230757.54995666695,0.09
-1.2420393525395323,0.941897542369994,0.0037854117839999993,140449.05897557197,19760307.419882093,262.36212432652326,248.82300687897742,149112.88400028663,228527.9978506434,0.1
-1.2144168256799162,0.9297533741131948,0.0037854117839999993,137673.7765182843,19229300.541164927,260.34216890369566,245.6148570263961,148075.58687226978,226366.04850789622,0.11
-1.1877880246228203,0.9178754938669667,0.0037854117839999993,134985.02770229563,18720644.465965774,258.36667366780733,242.4770530240857,147062.4595647608,224268.2991792262,0.12
-1.162102231517861,0.9062544715517881,0.0037854117839999993,132378.80079294668,18233037.94791366,256.43386338933266,239.40710370858514,146072.43875583116,222231.57382522145,0.13
-1.1373120554701917,0.8948813509970861,0.0037854117839999993,129851.3343127713,17765275.320815638,254.54206190791493,236.40264310993285,145104.52605598452,220252.90463208343,0.14
-1.1133731678805319,0.8837476193182808,0.0037854117839999993,127399.09757112019,17316238.110465575,252.68968516177884,233.46142236193793,144157.78304375554,218329.51529517648,0.15
-1.0902440624026872,0.8728451786942539,0.0037854117839999993,125018.77299414197,16884887.496797357,250.8752348037032,230.58130224657592,143231.32675277613,216458.80587743313,0.16
-1.0678858369096593,0.8621663203251574,0.0037854117839999993,122707.24006343308,16470257.5290742,249.09729234649194,227.76024631436968,142324.3255630251,214638.33907327076,0.17
-1.046261995168185,0.8517037003734755,0.0037854117839999993,120461.56069464923,16071449.0091648,247.35451378714663,224.99631452869056,141435.99545455346,212865.82772905257,0.18
-1.0253382661901032,0.8414503177115745,0.0037854117839999993,118278.96590730095,15687623.968595669,245.64562466444596,222.28765738728274,140565.59658682504,211139.12348878765,0.19
-1.0050824394630786,0.8313994933169437,0.0037854117839999993,116156.84365427888,15318000.674249036,243.96941550947906,219.63251047906178,139712.4301710368,209456.2064491363,0.2
-0.9854642144676609,0.8215448511722672,0.0037854117839999993,114092.72769474114,14961849.105511835,242.32473765294597,217.02918943844745,138875.8356064694,207815.1757211558,0.21
-0.966455063066483,0.8118803005416023,0.0037854117839999993,112084.28740716353,14618486.852557845,240.71049935680722,214.47608526322549,138055.18785514627,206214.2408079109,0.22
