isenthalpic_mdot [kg/s],isenthalpic_tank.mass [kg],isenthalpic_tank.volume [m^3],isenthalpic_tank.inenergy [J],isenthalpic_tank.pressure [Pa],isenthalpic_tank.temperature [degK],isenthalpic_tank.density [kg/m^3],isenthalpic_tank.sp_inenergy [J/kg],isenthalpic_tank.sp_enthalpy [J/kg],time [s]
-1.5871493244475856,1.0804750995372943,0.0037854117839999993,176171.69212611756,27024797.581143092,287.93166366693805,285.43132456664176,163050.21022840956,257730.76998213038,0.0
-1.5553836407149264,1.064921263130145,0.0037854117839999993,174194.1024614807,26488234.405357547,287.70722505225876,281.32243568092224,163574.63081305035,257730.76998239278,0.01
-1.5245882593657427,1.0496753805364876,0.0037854117839999993,172232.15647525148,25968505.724390414,287.4772141901898,277.2948995861444,164081.35283426757,257730.76998266295,0.02
-1.494720666536069,1.034728173871127,0.0037854117839999993,170286.42555955503,25464828.905125435,287.2421234271624,273.3462653243347,164571.16937531444,257730.76998266333,0.03
-1.465740751661278,1.020070766354514,0.0037854117839999993,168357.40464758436,24976468.822069492,287.00241062080244,269.47418789842135,165044.82845759118,257730.76998266368,0.04
-1.4376106427900417,1.0056946599266137,0.0037854117839999993,166445.51965108918,24502734.36863438,286.7585018075494,265.6764223584437,165503.0361434303,257730.769982664,0.05
-1.4102945550941162,0.9915917143756725,0.0037854117839999993,164551.13415804267,24042975.266552847,286.51079363443733,261.95081828795634,165946.4593869137,257730.76998266447,0.06
-1.3837586513792977,0.9777541278618795,0.0037854117839999993,162674.55547104275,23596579.14472443,286.25965558047716,258.2953146589242,166375.7286576474,257730.76998266496,0.07
-1.3579709135330504,0.9641744187265491,0.0037854117839999993,160816.0400552841,23162968.86148709,286.0054319873646,254.70793502621729,166791.44035752869,257730.76998266554,0.08
-1.3329010239327348,0.9508454084872218,0.0037854117839999993,158975.7984580278,22741600.047247726,285.748443918248,251.18678303539141,167194.15904942475,257730.76998266607,0.09
-1.3085202559362297,0.9377602059278595,0.0037854117839999993,157153.99975433171,22331958.846821085,285.48899086107787,247.73003821976258,167584.41951462094,257730.76998266662,0.1
-1.2848013726598904,0.9249121922012605,0.0037854117839999993,155350.77556766433,21933559.842989936,285.2273522912907,244.33595206488127,167962.72865420295,257730.76998266726,0.11
