run_time [s],time [s],state [-],Sensor Bus [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D [lbf],FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf],CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF],CH-STC-101-B [degF],CH-STC-101-C [degF]OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig],CH-PT-100 [psig]
15.2970,0.0000,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-271.4569,110.3566,108.6393,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.3470,1.0500,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.2117,108.0668,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.3520,1.0550,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.3570,1.0600,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.0668,108.6393,107.4944,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.3620,1.0650,1.0000,0.5673,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.6393,109.2117,108.6393,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.3670,1.0700,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,107.4944,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.3720,1.0750,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.0668,109.2117,108.6393,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.3770,1.0800,1.0000,0.5673,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.3820,1.0850,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.0668,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.3870,1.0900,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.6393,109.2117,108.6393,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.3920,1.0950,1.0000,0.5673,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,109.7841,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.3970,1.1000,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.7776,-5.54
16.4020,1.1050,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.6393,109.2117,108.6393,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4070,1.1100,1.0000,0.5673,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.4120,1.1150,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-269.7396,109.7841,108.6393,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4170,1.1200,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4220,1.1250,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4270,1.1300,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,108.6393,107.4944,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4320,1.1350,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4370,1.1400,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,107.4944,107.4944,-200.0000,-200.0000,-5.8969,-5.54
16.4420,1.1450,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4470,1.1500,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,109.2117,108.6393,108.0668,-200.0000,-200.0000,-5.7776,-5.54
