run_time [s],time [s],state [-],Sensor Bus [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D [lbf],FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf],CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF],CH-STC-101-B [degF],CH-STC-101-C [degF],OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig],CH-PT-100 [psig]
181.2000,0.0000,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.2550,1.0550,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1336.9109,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.2600,1.0600,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1333.1328,1336.9109,1333.1328,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.2650,1.0650,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.2700,1.0700,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1338.7999,1335.0219,1336.9109,1333.1328,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.2750,1.0750,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1342.5780,1335.0219,1336.9109,1333.1328,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.2800,1.0800,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.2850,1.0850,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.2900,1.0900,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,69.3703,1342.5780,1336.9109,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.2950,1.0950,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.97
182.3000,1.1000,1.0000,5.0059,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.3050,1.1050,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3100,1.1100,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3150,1.1150,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.3200,1.1200,1.0000,4.9902,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,63.7032,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3250,1.1250,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3300,1.1300,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1336.9109,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.3350,1.1350,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3400,1.1400,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3450,1.1450,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1336.9109,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.3500,1.1500,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3550,1.1550,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.3600,1.1600,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.3650,1.1650,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1336.9109,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.3700,1.1700,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3750,1.1750,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.3800,1.1800,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3850,1.1850,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3900,1.1900,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.3950,1.1950,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.4000,1.2000,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1342.5780,1336.9109,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.4050,1.2050,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.4100,1.2100,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,69.3703,1340.6890,1336.9109,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.4150,1.2150,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.4200,1.2200,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1335.0219,1338.7999,1336.9109,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.4250,1.2250,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1336.9109,1335.0219,1335.0219,-197.9011,-200.0000,66.3968,67.58
182.4300,1.2300,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1344.4670,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.3968,67.58
182.4350,1.2350,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.4400,1.2400,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1336.9109,1335.0219,1336.9109,-200.0000,-200.0000,66.3968,67.58
182.4450,1.2450,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.4500,1.2500,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1342.5780,1338.7999,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.4550,1.2550,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1344.4670,1335.0219,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.4600,1.2600,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,65.5922,1340.6890,1336.9109,1336.9109,1333.1328,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.4650,1.2650,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.4700,1.2700,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,69.3703,1340.6890,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.4750,1.2750,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.4800,1.2800,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.4850,1.2850,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1335.0219,1338.7999,1335.0219,1336.9109,-200.0000,-200.0000,66.7903,67.58
182.4900,1.2900,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1336.9109,1336.9109,1333.1328,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.4950,1.2950,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1340.6890,1336.9109,1338.7999,1336.9109,1336.9109,-200.0000,-200.0000,66.7903,67.97
182.5000,1.3000,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.5050,1.3050,1.0000,4.9954,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.97
182.5100,1.3100,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1338.7999,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
182.5150,1.3150,1.0000,5.0007,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,67.4813,1342.5780,1335.0219,1336.9109,1335.0219,1335.0219,-200.0000,-200.0000,66.7903,67.58
